Date,Open,High,Low,Close,Adj Close,Volume,Gain
11/18/2014,74.449997,74.800003,73.900002,74.339996,74.339996,20690500,-0.110001
11/19/2014,74.010002,74.540001,73.110001,73.330002,73.330002,25441200,-0.68
11/20/2014,72.800003,73.989998,72.510002,73.599998,73.599998,19154900,0.799995
11/21/2014,74.5,74.5,73.5,73.75,73.75,23060400,-0.75
11/24/2014,73.540001,74.349998,73.349998,74.010002,74.010002,22103800,0.470001
11/25/2014,74.209999,75.739998,74.129997,75.629997,75.629997,32250200,1.419998
11/26/2014,75.529999,77.779999,75.510002,77.620003,77.620003,32695300,2.090004
11/28/2014,77.669998,78.269997,77.230003,77.699997,77.699997,15992000,0.029999
12/1/2014,77.260002,77.309998,74.800003,75.099998,75.099998,31789900,-2.160004
12/2/2014,75.330002,75.910004,75.040001,75.459999,75.459999,16773900,0.129997
12/3/2014,75.379997,75.730003,74.400002,74.879997,74.879997,16689900,-0.5
12/4/2014,74.830002,75.550003,74.660004,75.239998,75.239998,14362800,0.409996
12/5/2014,75.800003,76.760002,75.360001,76.360001,76.360001,24306400,0.559998
12/8/2014,76.18,77.25,75.400002,76.519997,76.519997,25733900,0.339997
12/9/2014,75.199997,76.93,74.779999,76.839996,76.839996,25358600,1.639999
12/10/2014,76.650002,77.550003,76.07,76.18,76.18,32210500,-0.470002
12/11/2014,76.519997,78.519997,76.480003,77.730003,77.730003,33462100,1.210006
12/12/2014,77.160004,78.879997,77.019997,77.830002,77.830002,28091600,0.669998
12/15/2014,78.459999,78.580002,76.559998,76.989998,76.989998,29396500,-1.470001
12/16/2014,76.190002,77.389999,74.589996,74.690002,74.690002,31554600,-1.5
12/17/2014,75.010002,76.410004,74.900002,76.110001,76.110001,29203900,1.099999
12/18/2014,76.889999,78.400002,76.510002,78.400002,78.400002,34222100,1.510003
12/19/2014,78.75,80,78.330002,79.879997,79.879997,43335000,1.129997
12/22/2014,80.080002,81.889999,80,81.449997,81.449997,31395800,1.369995
12/23/2014,82.019997,82.169998,80.400002,80.610001,80.610001,19865800,-1.409996
12/24/2014,81.029999,81.43,80.75,80.769997,80.769997,7685500,-0.260002
12/26/2014,81.019997,81.279999,80.510002,80.779999,80.779999,10647400,-0.239998
12/29/2014,80.489998,80.959999,79.709999,80.019997,80.019997,14134700,-0.470001
12/30/2014,79.849998,80.589996,79.099998,79.220001,79.220001,14370800,-0.629997
12/31/2014,79.540001,79.800003,77.860001,78.019997,78.019997,20040400,-1.520004
1/2/2015,78.580002,78.93,77.699997,78.449997,78.449997,18177500,-0.130005
1/5/2015,77.980003,79.25,76.860001,77.190002,77.190002,26452200,-0.790001
1/6/2015,77.230003,77.589996,75.360001,76.150002,76.150002,27399300,-1.080001
1/7/2015,76.760002,77.360001,75.82,76.150002,76.150002,22045300,-0.61
1/8/2015,76.739998,78.230003,76.080002,78.18,78.18,23961000,1.440002
1/9/2015,78.199997,78.620003,77.199997,77.739998,77.739998,21138700,-0.459999
1/12/2015,77.839996,78,76.209999,76.720001,76.720001,19190200,-1.119995
1/13/2015,77.230003,78.080002,75.849998,76.449997,76.449997,25179600,-0.780006
1/14/2015,76.419998,77.199997,76.029999,76.279999,76.279999,25918600,-0.139999
1/15/2015,76.400002,76.57,73.540001,74.050003,74.050003,34134000,-2.349999
1/16/2015,74.040001,75.32,73.839996,75.18,75.18,21791500,1.139999
1/20/2015,75.720001,76.309998,74.82,76.239998,76.239998,22751300,0.519997
1/21/2015,76.160004,77.300003,75.849998,76.739998,76.739998,25096700,0.579994
